Date,Close,High,Low,Open,Volume,MA50,MA200,Year
2020-07-17,1922.756591796875,1960.4559030166122,1913.4082325340657,1954.4275796204065,4509135,1798.8406005859374,,2020
2020-07-20,1929.003173828125,1945.6031384659368,1914.0633336349072,1922.9748509380931,2952646,1804.506865234375,,2020
2020-07-21,1943.9866943359375,1955.8686447186794,1923.1055609956898,1948.311378727107,2665286,1809.74443359375,,2020
2020-07-22,1914.194091796875,1949.185108730862,1908.296736582203,1949.185108730862,2861534,1814.139306640625,,2020
2020-07-23,1896.9388427734375,1914.1940670675217,1889.7746910432481,1914.1940670675217,2265766,1818.18646484375,,2020
2020-07-24,1884.8818359375,1889.7745414300118,1856.662072372267,1882.3482429546743,3665100,1822.8147216796874,,2020
2020-07-27,1928.0421142578125,1935.2062663533447,1890.2116285577704,1891.5221519887095,4248480,1828.4704638671874,,2020
2020-07-28,2017.9881591796875,2026.9434048260093,1935.2067421075908,1935.2067421075908,8092319,1835.0090112304688,,2020
2020-07-29,1988.5443115234375,2046.1636069847139,1962.3338468737613,2002.4794992352538,6090431,1840.9056713867187,,2020
2020-07-30,1991.5587158203125,2060.1427733732385,1985.2245194221123,1997.1501969754315,7098496,1846.7765551757811,,2020
2020-07-31,1993.2181396484375,2039.8728890078958,1972.2934972521468,2012.2207241987464,4723290,1852.0270166015625,,2020
2020-08-03,1969.410888671875,2012.8330700076351,1948.923081215638,2001.1255991031105,4012337,1856.2946044921875,,2020
2020-08-04,1965.522705078125,1982.952621442347,1943.9865252380707,1974.477947183436,2927928,1861.8290405273438,,2020
2020-08-05,1974.085205078125,2009.4693390925813,1968.406269989385,1974.5220462387972,3800641,1866.4517407226563,,2020
2020-08-06,2016.5462646484375,2026.5061578575705,1979.196345162164,1987.6272942987596,4748047,1871.9410424804687,,2020
2020-08-07,2005.406982421875,2033.9326274650455,1998.1116490603774,2016.4589794627684,3165491,1877.762958984375,,2020
2020-08-10,1994.44189453125,2031.3112430348858,1988.5445393095358,2025.1954672494044,2929353,1882.0983203125,,2020
2020-08-11,1991.9083251953125,2019.9536142430186,1988.1516616922613,1994.6168258290706,2774423,1886.3499853515625,,2020
2020-08-12,1972.2069091796875,2006.3240338059327,1962.7710972777495,1999.2910616326228,3415751,1890.1204516601563,,2020
2020-08-13,1969.67236328125,2009.4686214666372,1966.2213620046377,1985.8792072146375,2695682,1893.0486962890625,,2020
2020-08-14,1958.9263916015625,1993.1311765283606,1951.0197386063046,1989.3743005381405,2270405,1896.5169384765625,,2020
2020-08-17,1968.7559814453125,1983.2591956858594,1955.519777420209,1977.1434184304403,2625630,1899.772060546875,,2020
2020-08-18,1983.040283203125,1999.8586664839534,1964.2998416361822,1976.9682342373255,3493374,1903.3076391601562,,2020
2020-08-19,1971.5516357421875,1996.0147410385653,1967.969452860392,1988.806861799454,2843005,1905.9735961914062,,2020
2020-08-20,1968.2752685546875,1988.9814965483233,1957.0920923766978,1971.9009648043482,2895164,1909.2905859375,,2020
2020-08-21,1964.56201171875,1984.1324089879706,1957.9656680070264,1974.5219041447879,1975294,1913.0240942382814,,2020
2020-08-24,1964.12548828125,1974.4784967379035,1948.3117515245622,1966.3096942807172,2167966,1916.916240234375,,2020
2020-08-25,1959.36376953125,1965.785420558957,1951.413387588922,1961.4170085132705,1663419,1920.4359399414063,,2020
2020-08-26,1968.843505859375,1974.4349885164092,1936.4735267038275,1958.7961571496423,2618149,1924.11037109375,,2020
2020-08-27,1964.3870849609375,1998.4171792287868,1958.5771833207991,1979.7639778766281,3579393,1927.8647875976562,,2020
2020-08-28,1955.781494140625,1991.9518549085346,1952.7673329601885,1981.8607819989552,2941136,1931.33376953125,,2020
2020-08-31,1972.1192626953125,1988.6754987051431,1946.564056832498,1957.0482438531399,6018154,1935.41978515625,,2020
2020-09-01,1962.596923828125,1990.2488918112606,1958.1847841952151,1982.3857486917254,3610908,1939.187216796875,,2020
2020-09-02,1979.021240234375,1982.1665816183006,1958.4897075983288,1963.16399290196,2084137,1943.1628344726562,,2020
2020-09-03,2009.032470703125,2030.4376872859589,1981.511477953767,1981.511477953767,4654146,1948.1937133789063,,2020
2020-09-04,1999.6837158203125,2030.6557048856391,1977.0989472809924,1987.6268596815441,5231303,1951.2462231445313,,2020
2020-09-07,2033.1021728515625,2047.4742021457685,1994.922303997522,1999.8585230260994,4620401,1955.2669750976563,,2020
2020-09-08,2051.58056640625,2088.4936405622248,2033.102272593079,2040.8779591065886,7453998,1959.997265625,,2020
2020-09-09,2033.62646484375,2061.0164895227153,2026.942880751462,2031.311292132392,3866535,1964.1958740234375,,2020
2020-09-10,2036.684326171875,2051.842798785973,2030.6997306390779,2040.04808821173,2308813,1967.3206591796875,,2020
2020-09-11,2074.209228515625,2081.9849156454634,2035.8107208864612,2036.5097093849656,4145424,1970.4549731445313,,2020
2020-09-14,2176.69189453125,2189.2293202671613,2080.980173708576,2082.9459587911265,7512131,1974.530966796875,,2020
2020-09-15,2176.69189453125,2217.405573117053,2153.2773806334912,2176.69189453125,7318770,1978.4901440429687,,2020
2020-09-16,2186.826171875,2190.845194626845,2164.3725858428124,2174.550896408174,3074003,1983.5411889648437,,2020
2020-09-17,2150.087890625,2180.4920699309955,2141.0454089999303,2166.7315770525365,4828176,1988.111123046875,,2020
2020-09-18,2140.434326171875,2184.555285305051,2128.6396143243924,2171.1006622958726,4183256,1992.17416015625,,2020
2020-09-21,2153.888671875,2188.4863574328933,2142.3996234893257,2153.626524566718,4598809,1996.5472631835937,,2020
2020-09-22,2204.25634765625,2232.257903350715,2147.510734417244,2171.100152573983,7499613,2002.7654541015625,,2020
2020-09-23,2155.767578125,2201.548663502787,2104.7008849102203,2192.9428066104824,7502280,2006.9337963867188,,2020
2020-09-24,2037.64501953125,2140.52108386818,2011.740431326585,2140.52108386818,8424708,2008.6374658203124,,2020
2020-09-25,2116.32080078125,2131.7849357285177,2054.9883424217905,2068.8798064775124,8228267,2012.50875,,2020
2020-09-28,2119.814697265625,2135.278826136721,2067.1316295578895,2131.784098107037,4347166,2016.32498046875,,2020
2020-09-29,2174.07080078125,2193.8598314988276,2119.8152616559064,2127.285287468467,6995811,2020.9266625976563,,2020
